index,time
0,1.556
1,1.927
2,2.299
3,2.647
4,3.019
5,3.390
6,3.762
7,4.110
8,4.481
9,4.853
10,5.224
11,5.573
12,5.944
13,6.316
14,6.687
15,7.059
16,7.407
17,7.779
18,8.150
19,8.499
20,8.870
21,9.242
22,9.613
23,9.985
24,10.333
25,10.704
26,11.076
27,11.424
28,11.796
29,12.167
30,12.539
31,12.910
32,13.282
33,13.653
34,14.025
35,14.373
36,14.721
37,15.093
38,15.464
39,15.836
40,16.208
41,16.556
42,16.927
43,17.299
44,17.647
45,18.019
46,18.390
47,18.762
48,19.110
49,19.482
50,19.853
51,20.225
52,20.573
53,20.944
54,21.316
55,21.687
56,22.036
57,22.407
58,22.779
59,23.150
60,23.499
61,23.870
62,24.242
63,24.613
64,24.961
65,25.333
66,25.704
67,26.076
68,26.424
69,26.819
70,27.191
71,27.539
72,27.887
73,28.282
74,28.630
75,29.002
76,29.350
77,29.722
78,30.093
79,30.465
80,30.813
81,31.184
82,31.556
83,31.927
84,32.276
85,32.647
86,33.019
87,33.390
88,33.739
89,34.133
90,34.505
91,34.876
92,35.225
93,35.596
94,35.968
95,36.339
96,36.711
97,37.082
98,37.454
99,37.825
100,38.174
101,38.522
102,38.870
103,39.242
104,39.613
105,39.985
106,40.356
107,40.728
108,41.076
109,41.424
110,41.819
111,42.191
112,42.539
113,42.910
114,43.259
115,43.607
116,43.979
117,44.350
118,44.722
119,45.093
120,45.465
121,45.836
122,46.208
123,46.556
124,46.928
125,47.299
126,47.671
127,48.042
128,48.390
129,48.762
130,49.110
131,49.482
132,49.853
133,50.225
134,50.573
135,50.945
136,51.316
137,51.688
138,52.036
139,52.407
140,52.779
141,53.150
142,53.499
143,53.870
144,54.242
145,54.613
146,54.962
147,55.333
148,55.705
149,56.076
150,56.424
151,56.796
152,57.168
153,57.539
154,57.887
155,58.259
156,58.630
157,59.002
158,59.350
159,59.722
160,60.093
161,60.465
162,60.836
163,61.185
164,61.556
165,61.928
166,62.276
167,62.671
168,63.019
169,63.390
170,63.739
171,64.110
172,64.482
173,64.853
174,65.225
175,65.596
176,65.945
177,66.316
178,66.688
179,67.059
180,67.408
181,67.779
182,68.127
183,68.499
184,68.870
185,69.242
186,69.613
187,69.985
188,70.333
189,70.705
190,71.076
191,71.448
192,71.819
193,72.191
194,72.539
195,72.911
196,73.282
197,73.654
198,74.002
199,74.374
200,74.745
201,75.093
202,75.465
203,75.836
204,76.185
205,76.556
206,76.928
207,77.299
208,77.671
209,78.042
210,78.391
211,78.762
212,79.134
213,79.482
214,79.853
215,80.225
216,80.596
217,80.968
218,81.316
219,81.688
220,82.059
221,82.431
222,82.779
